Erick_Liss,@Beatriz_bih3 batinha da nike
non_bona_dicta,"The white supremacist backlash against Nike is fucking scary. They clearly read Kaepernick's role with Nike as an escalation, as a deliberate attack on white people specifically, and as dumb as this destruction of their own property seems it's an obvious threat of violence."
readyandwillin,I added a video to a @YouTube playlist  http://youtu.be/V0R4ClBUx5Q?a  Buying Nikes Again
charlenekettle,"@MSNBC And Nike would care why?  I don't care, do u?"
dragana57am,@MAGAGwen @thomesinc @ThomMAGA @skb_sara @wvufanagent99 @grizzlemeister @SKYRIDER4538 @MTJRenegade @BeckySpartacus @Nike @Tom53714884 @CB618444 Love it! Everyone who riots against cops should get this notice.
messwithim,tentei dar uma segunda chance pro nike training mas não da não eu quase morro
ShoesExplosion,Nike LeBron 10 Low SE Championship Sz 11.5 DS  http://rover.ebay.com/rover/1/711-53200-19255-0/1?ff3=2&toolid=10039&campid=5338258968&item=183425165160&vectorid=229466&lgeo=1 …
shawncroz,To all of those who are burning their @Nike apparel over the ad with @Kaepernick7 be sure to sell your #Nike stock also. Let's really see how mad you are.Week 1#NoNFLSunday#NoMNF
Ettam15,"@DailyCaller Gold Star Wife Drops Challenge On Nike, Kaepernick: ‘Meet Me And My Son At Arlington’  https://dailycaller.com/2018/09/09/gold-star-wife-nike-kaepernick/ … via @dailycaller"
jeasarian,"@Kaepernick7 @Nike @FoxNews Here we go! Fox News never disappoints! Using a Gold star wife to stoop this low! For the umpteenth time, this is NOT about the flag or “sacrifices” but Black people slaughtered willing and openly by law enforcement.. Maybe she too needs to visit black neighborhoods too! Smdh"
samstancea,I’m not really sure if someone who didn’t agree with Nike or Kapernick can be automatically be named racist?  https://twitter.com/alvaro_moser/status/1038295835635793924 …
Emkaytoo,@Nike @deshaunwatson They are exercising the freedom that vets are fighting for.  How is this not clear?
DawnieRotten,"@DailyCaller Gold Star Wife Drops Challenge On Nike, Kaepernick: ‘Meet Me And My Son At Arlington’  https://dailycaller.com/2018/09/09/gold-star-wife-nike-kaepernick/ … via @dailycaller"
